iter	Passed	Remaining
0	47	47834
1	49	24781
2	51	17029
3	53	13281
4	55	11023
5	57	9538
6	59	8461
7	61	7664
8	63	7035
9	65	6525
10	68	6115
11	70	5789
12	72	5492
13	74	5243
14	76	5052
15	79	4862
16	81	4699
17	83	4549
18	85	4424
19	87	4310
20	90	4204
21	92	4106
22	94	4011
23	96	3934
24	98	3853
25	102	3852
26	105	3809
27	107	3747
28	110	3692
29	112	3644
30	116	3644
31	118	3578
32	120	3535
33	122	3490
34	125	3451
35	127	3411
36	129	3380
37	132	3362
38	135	3333
39	137	3302
40	140	3275
41	142	3244
42	144	3218
43	147	3215
44	150	3189
45	152	3166
46	154	3130
47	156	3105
48	158	3082
49	161	3062
50	164	3053
51	166	3034
52	168	3014
53	171	2999
54	173	2982
55	176	2973
56	178	2957
57	181	2947
58	183	2930
59	186	2915
60	189	2916
61	191	2902
62	194	2886
63	196	2871
64	198	2856
65	200	2840
66	202	2825
67	205	2811
68	207	2796
69	209	2783
70	211	2771
71	213	2758
72	216	2745
73	218	2732
74	220	2720
75	222	2708
76	225	2697
77	227	2687
78	229	2676
79	231	2667
80	234	2659
81	236	2647
82	238	2638
83	241	2630
84	243	2619
85	245	2611
86	247	2601
87	250	2593
88	252	2585
89	254	2577
90	256	2559
91	258	2551
92	260	2543
93	263	2535
94	265	2528
95	267	2520
96	269	2512
97	272	2506
98	274	2497
99	276	2491
100	279	2484
101	281	2474
102	283	2469
103	285	2461
104	288	2455
105	290	2447
106	294	2453
107	295	2443
108	297	2434
109	299	2424
110	301	2415
111	303	2406
112	305	2396
113	307	2387
114	309	2378
115	313	2386
116	316	2390
117	319	2388
118	321	2379
119	323	2371
120	326	2372
121	329	2370
122	332	2371
123	335	2371
124	339	2375
125	342	2375
126	345	2374
127	347	2366
128	349	2356
129	350	2348
130	352	2340
131	354	2328
132	355	2319
133	357	2311
134	358	2299
135	360	2290
136	362	2282
137	364	2274
138	365	2266
139	367	2259
140	369	2250
141	371	2243
142	373	2236
143	374	2228
144	376	2221
145	378	2213
146	379	2204
147	381	2197
148	383	2189
149	384	2178
150	386	2171
151	388	2164
152	389	2157
153	391	2150
154	393	2142
155	394	2136
156	396	2129
157	398	2122
158	400	2116
159	401	2110
160	403	2104
161	405	2097
162	407	2091
163	409	2085
164	410	2079
165	412	2073
166	414	2067
167	416	2061
168	418	2055
169	419	2049
170	421	2044
171	423	2038
172	425	2032
173	426	2026
174	428	2021
175	430	2015
176	432	2009
177	434	2004
178	435	1998
179	437	1993
180	439	1988
181	441	1983
182	443	1978
